local_name,state_name,average_score,lat,lon
 Farmville, VA,3.714285714,37.2968,-78.3993
 Fayetteville, AR,3.617647059,33.45,-84.4708
 Fayetteville, NC,3.6,33.45,-84.4708
 Findlay, OH,3.82,41.0467,-83.6379
 Fitchburg, MA,4.166666667,42.5912,-71.8156
 Flagstaff, AZ,3.231578947,35.1872,-111.6195
 Flint, MI,3.489473684,43.0236,-83.6922
 Florence, AL,3.916666667,43.9912,-124.1061
 Florence, SC,4.033333333,43.9912,-124.1061
 Flushing, NY,3.796774194,43.0637,-83.8403
 Folsom, CA,4.5,38.6669,-121.1422
 Fond du Lac, WI,4.65,43.772,-88.4396
 Fort Collins, CO,3.636842105,40.5479,-105.0658
 Fort Lauderdale, FL,3.856716418,26.1412,-80.1464
 Fort Myers, FL,4.28,26.6195,-81.8302
 Fort Pierce, FL,3.477777778,27.4256,-80.3425
 Fort Smith, AR,3.94,35.3494,-94.3695
 Fort Valley, GA,4.8,32.5521,-83.8819
 Fort Wayne, IN,3.95,41.0885,-85.1436
 Fort Worth, TX,3.923880597,32.7814,-97.3473
 Franklin, IN,4.25,36.7163,-86.5587
 Frederick, MD,3.5625,39.4335,-77.4157
 Fredericksburg, VA,3.776923077,30.2671,-98.8757
 Fredericton, NB,4.371428571,45.95,-66.6333
 Fredonia, NY,3.8,42.4407,-79.3319
 Fremont, CA,3.5,41.3533,-83.1146
 Fremont, OH,5,41.3533,-83.1146
 Fresno, CA,4.140740741,36.7834,-119.7941
 Frostburg, MD,3.277777778,39.6506,-78.9269
 Fullerton, CA,4.058333333,33.8841,-117.9279
 Fulton, MO,5,38.8551,-91.951
 Fulton, MS,4,38.8551,-91.951
 Gadsden, AL,4.8,34.009,-86.0156
 Gaffney, SC,3,35.0742,-81.6558
 Gainesville, FL,3.88627451,34.2901,-83.8301
 Gainesville, TX,4.125,34.2901,-83.8301
 Galesburg, IL,4,40.9506,-90.3763
 Gallatin, TN,4.1,36.3783,-86.4696
 Galveston, TX,3.625,29.2487,-94.891
 Garden City, NY,3.766666667,37.9755,-100.8529
 Garden Grove, CA,3.35,33.7787,-117.9601
 Gary, IN,3.85,41.5906,-87.3472
 Gautier, MS,1,30.4106,-88.6568
 Geneseo, NY,3.95,41.4508,-90.154
 Geneva, NY,4.28,41.8007,-80.9461
 Georgetown, DE,3.75,38.2253,-84.5481
 Georgetown, SC,5,38.2253,-84.5481
 Germantown, MD,2.842857143,39.6324,-84.3645
 Gettysburg, PA,3.4,39.8304,-77.2339
 Glasgow, GLASGOW,1,37.0048,-85.9262
 Glassboro, NJ,3.35,39.7014,-75.1113
 Glen Ellyn, IL,3.85,41.8669,-88.063
 Glendale, AZ,3.407692308,38.5935,-90.3826
 Glendale, CA,3.51,38.5935,-90.3826
 Glendora, CA,3.78,34.1449,-117.8468
 Godfrey, IL,4.733333333,38.9581,-90.2156
 Golden, CO,2.925,39.7406,-105.2122
 Goldsboro, NC,4.85,35.3777,-77.972
 Graham, NC,4.2,36.0597,-79.3899
 Grand Forks, ND,3.56,47.9223,-97.0887
 Grand Junction, CO,1,39.0878,-108.5673
 Grand Rapids, MI,3.878571429,42.9615,-85.6557
 Granite City, IL,2,38.7296,-90.1263
 Grants Pass, OR,2.8,42.4333,-123.3317
 Granville, OH,2.9,40.0646,-82.5022
 Grayslake, IL,4.088888889,42.3405,-88.0339
 Great Falls, MT,5,47.5022,-111.2995
 Greeley, CO,3.491666667,40.415,-104.7696
 Green Bay, WI,2.333333333,44.515,-87.9896
 Greencastle, IN,3.65,39.6431,-86.8419
 Greensboro, NC,3.846153846,36.0956,-79.8269
 Greenville, IL,4.5,34.8363,-82.365
 Greenville, NC,3.7375,34.8363,-82.365
 Greenville, SC,4.07,34.8363,-82.365
 Greenwood, SC,3.8,34.1944,-82.1543
 Gresham, OR,4.057142857,45.5023,-122.4414
 Griffin, GA,3.5,33.2418,-84.2747
 Grinnell, IA,3.833333333,41.7373,-92.7244
 Groton, CT,4.466666667,41.339,-72.0727
 Grove City, PA,4.3,39.866,-83.0692
 Gulfport, FL,2.9,30.4271,-89.0703
 Gulfport, MS,3.9,30.4271,-89.0703
 Hackettstown, NJ,4.3,40.854,-74.8257
 Hagerstown, MD,4,39.6401,-77.7217
 Halifax, NS,3.3375,53.7167,-1.85
